epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.0720,42.60,0.9946,57.14,2.00e-04
2,0.9609,54.28,0.7930,75.32,3.00e-04
3,0.8191,63.98,0.6462,85.71,4.00e-04
4,0.7252,68.91,0.6041,83.12,5.00e-04
5,0.6708,77.47,0.5815,84.42,6.00e-04
6,0.5908,81.91,0.5179,89.61,7.00e-04
7,0.5603,84.70,0.7349,75.32,8.00e-04
8,0.5504,86.02,0.4494,90.91,9.00e-04
9,0.5174,86.68,0.3970,96.10,1.00e-03
10,0.5877,84.87,0.4611,89.61,1.00e-03
11,0.4924,89.97,0.3623,97.40,1.00e-03
12,0.4969,89.14,0.3774,96.10,1.00e-03
13,0.5079,90.30,0.4990,83.12,9.99e-04
14,0.5016,87.99,0.3437,97.40,9.99e-04
15,0.5307,87.83,0.4924,83.12,9.98e-04
16,0.4585,91.28,0.3744,96.10,9.98e-04
17,0.4654,89.97,0.3728,97.40,9.97e-04
18,0.4926,88.82,0.5051,87.01,9.96e-04
19,0.4838,89.47,0.4302,89.61,9.94e-04
20,0.4725,90.13,0.3667,94.81,9.93e-04
21,0.4321,93.26,0.3533,98.70,9.92e-04
22,0.5061,88.32,0.3694,97.40,9.90e-04
23,0.4626,91.78,0.3991,96.10,9.89e-04
24,0.4600,90.62,0.4201,93.51,9.87e-04
25,0.4441,92.93,0.3671,97.40,9.85e-04
26,0.4470,91.45,0.3618,97.40,9.83e-04
27,0.4376,93.09,0.3801,97.40,9.80e-04
28,0.4352,93.59,0.3550,98.70,9.78e-04
29,0.4313,93.09,0.3348,100.00,9.76e-04
30,0.4728,91.28,0.3521,98.70,9.73e-04
31,0.4188,93.26,0.3565,98.70,9.70e-04
32,0.4239,92.93,0.3459,97.40,9.67e-04
33,0.4631,91.28,0.3498,98.70,9.64e-04
34,0.4610,91.61,0.3655,97.40,9.61e-04
35,0.4455,92.43,0.3455,100.00,9.58e-04
36,0.4844,91.12,0.3523,98.70,9.55e-04
37,0.4363,92.43,0.3842,90.91,9.51e-04
38,0.4295,93.09,0.3425,98.70,9.47e-04
39,0.4316,93.09,0.3620,97.40,9.44e-04
40,0.4405,92.93,0.3311,98.70,9.40e-04
41,0.4464,92.11,0.3518,97.40,9.36e-04
42,0.4235,94.74,0.3926,93.51,9.32e-04
43,0.4312,92.60,0.3277,100.00,9.27e-04
44,0.4596,92.11,0.3565,97.40,9.23e-04
45,0.4107,94.08,0.3272,100.00,9.19e-04
46,0.4648,91.61,0.3364,98.70,9.14e-04
47,0.4456,92.11,0.3546,97.40,9.09e-04
48,0.4106,93.91,0.3728,96.10,9.05e-04
49,0.4243,93.42,0.3427,98.70,9.00e-04
50,0.4337,92.60,0.3311,98.70,8.95e-04
51,0.4284,93.91,0.3315,100.00,8.90e-04
52,0.4436,93.09,0.3441,100.00,8.84e-04
53,0.4463,91.94,0.3410,98.70,8.79e-04
54,0.4345,91.94,0.3369,98.70,8.74e-04
55,0.4193,93.59,0.3562,97.40,8.68e-04
56,0.4458,92.76,0.3601,97.40,8.62e-04
57,0.4117,94.57,0.3276,100.00,8.57e-04
58,0.4287,92.76,0.3312,100.00,8.51e-04
59,0.4700,91.12,0.3608,98.70,8.45e-04
