epoch,train_loss,train_acc,val_loss,val_acc,lr
1,2.1338,16.78,2.1870,9.09,4.00e-04
2,1.9845,20.72,2.5585,10.39,6.00e-04
3,1.9465,21.88,2.2322,27.27,8.00e-04
4,1.9509,21.71,4.9112,5.19,1.00e-03
5,1.8872,22.86,4.7998,6.49,1.00e-03
6,1.8816,23.68,5.5937,5.19,1.00e-03
7,1.9106,22.86,2.8830,28.57,9.99e-04
8,1.9006,24.34,11.2178,10.39,9.98e-04
9,1.8721,22.70,6.8114,10.39,9.96e-04
10,1.8198,26.32,2.4586,10.39,9.93e-04
11,1.8211,23.03,9.2062,6.49,9.90e-04
12,1.7513,27.80,5.4245,6.49,9.87e-04
13,1.8672,25.33,2.2190,24.68,9.83e-04
14,1.8667,23.68,2.3666,9.09,9.78e-04
