epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.1711,36.51,1.0775,32.47,2.00e-04
2,1.1437,36.68,1.0104,41.56,3.00e-04
3,1.0695,44.08,0.9760,45.45,4.00e-04
4,1.0573,45.07,1.2688,40.26,5.00e-04
5,1.0106,46.22,1.1776,38.96,6.00e-04
6,1.0485,46.38,1.0160,51.95,7.00e-04
7,0.9698,50.66,0.9800,50.65,8.00e-04
8,0.9660,50.99,1.0312,42.86,9.00e-04
9,0.9677,51.81,0.9562,48.05,1.00e-03
10,0.9437,55.10,1.5985,41.56,1.00e-03
11,0.9701,51.15,0.9271,51.95,1.00e-03
12,0.9144,56.91,1.1179,51.95,1.00e-03
13,0.9185,56.09,1.3720,35.06,9.99e-04
14,0.9102,56.09,1.4253,37.66,9.99e-04
15,0.9011,54.61,1.2143,41.56,9.98e-04
16,0.8954,55.59,0.9915,57.14,9.98e-04
17,0.8946,53.95,0.8531,62.34,9.97e-04
18,0.8792,55.92,0.8956,48.05,9.96e-04
19,0.8944,57.40,0.9078,55.84,9.94e-04
20,0.9028,57.40,1.0569,41.56,9.93e-04
21,0.8608,56.58,1.1249,41.56,9.92e-04
22,0.8616,59.54,1.4802,38.96,9.90e-04
23,0.8626,58.55,1.0242,41.56,9.89e-04
24,0.8617,58.72,1.1314,42.86,9.87e-04
25,0.8526,61.18,1.1741,44.16,9.85e-04
26,0.8852,55.10,0.9907,46.75,9.83e-04
27,0.8922,58.55,1.0308,41.56,9.80e-04
28,0.8646,57.24,1.0715,45.45,9.78e-04
29,0.8299,60.36,1.1972,36.36,9.76e-04
30,0.8222,56.74,1.0465,40.26,9.73e-04
31,0.8389,58.72,0.9037,46.75,9.70e-04
32,0.8483,57.24,1.1196,46.75,9.67e-04
33,0.8566,57.57,1.2438,37.66,9.64e-04
34,0.8233,62.83,1.2819,37.66,9.61e-04
35,0.8309,60.36,1.0953,40.26,9.58e-04
36,0.8086,61.18,1.0673,45.45,9.55e-04
37,0.8286,58.72,1.3091,48.05,9.51e-04
38,0.7997,62.34,1.4945,36.36,9.47e-04
39,0.9109,55.43,0.9397,57.14,9.44e-04
40,0.8194,60.03,0.9173,50.65,9.40e-04
41,0.8014,61.51,1.2352,48.05,9.36e-04
42,0.8041,60.03,1.6454,31.17,9.32e-04
43,0.8360,58.72,1.2966,33.77,9.27e-04
44,0.8253,60.03,1.0070,46.75,9.23e-04
45,0.8075,59.54,1.5581,35.06,9.19e-04
46,0.8117,62.99,0.8882,58.44,9.14e-04
47,0.8295,60.36,1.3340,33.77,9.09e-04
