epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.7659,19.53,1.6555,21.88,2.00e-04
2,1.7498,19.92,1.5160,32.81,3.00e-04
3,1.6834,22.46,1.5189,39.06,4.00e-04
4,1.6338,26.95,1.4427,42.19,5.00e-04
5,1.6504,25.98,1.4964,35.94,6.00e-04
6,1.5977,28.52,1.4277,50.00,7.00e-04
7,1.5763,28.91,1.4415,40.62,8.00e-04
8,1.6128,25.98,1.4815,45.31,9.00e-04
9,1.5676,31.25,2.2324,29.69,1.00e-03
10,1.5928,30.08,1.4577,37.50,1.00e-03
11,1.5635,31.25,1.5655,39.06,1.00e-03
12,1.5640,30.27,1.4129,42.19,1.00e-03
13,1.5225,32.62,1.9469,31.25,9.99e-04
14,1.5495,28.71,1.3440,48.44,9.99e-04
15,1.5080,33.40,1.5723,39.06,9.98e-04
16,1.5298,27.54,1.5169,43.75,9.98e-04
17,1.4937,31.64,1.5085,45.31,9.97e-04
18,1.5225,31.84,1.4943,45.31,9.96e-04
19,1.5080,33.59,1.3685,45.31,9.94e-04
20,1.4935,34.38,1.5971,34.38,9.93e-04
21,1.4863,38.48,1.4981,39.06,9.92e-04
22,1.4728,34.57,1.5806,40.62,9.90e-04
23,1.4958,31.84,1.4834,39.06,9.89e-04
24,1.5696,30.66,1.5226,43.75,9.87e-04
25,1.5238,30.86,1.4673,45.31,9.85e-04
26,1.5123,32.23,1.4958,42.19,9.83e-04
27,1.4814,34.18,1.5366,48.44,9.80e-04
28,1.4800,35.55,1.6595,37.50,9.78e-04
29,1.4943,32.62,1.6927,39.06,9.76e-04
30,1.4531,36.72,1.4403,45.31,9.73e-04
31,1.5072,32.23,1.4602,43.75,9.70e-04
32,1.4938,32.81,1.5523,46.88,9.67e-04
33,1.4742,34.57,1.4614,45.31,9.64e-04
34,1.4944,34.57,1.5156,42.19,9.61e-04
35,1.4250,36.13,1.5861,40.62,9.58e-04
36,1.4995,32.42,2.2528,29.69,9.55e-04
