epoch,lr,train_loss,train_acc,train_iou,val_loss,val_acc,val_iou,val_tree_iou,val_tree_prec,val_tree_rec
1,0.00020000,0.300174,0.927153,0.863287,0.167035,0.960298,0.921677,0.909314,0.968244,0.937266
2,0.00040000,0.142988,0.968693,0.938921,0.089978,0.978568,0.957206,0.951249,0.965630,0.984586
3,0.00060000,0.108805,0.976078,0.952971,0.079268,0.980500,0.960994,0.955581,0.967108,0.987680
4,0.00080000,0.109167,0.975865,0.952577,0.189067,0.954570,0.910961,0.897196,0.958495,0.933461
5,0.00100000,0.103987,0.976312,0.953428,0.097095,0.982483,0.964887,0.959997,0.969639,0.989748
6,0.00100000,0.094692,0.978963,0.958531,0.096096,0.977982,0.956178,0.950501,0.954678,0.995418
7,0.00099956,0.081650,0.982098,0.964591,0.066278,0.981858,0.963685,0.958725,0.966066,0.992136
8,0.00099825,0.079254,0.982478,0.965347,0.073089,0.981986,0.963931,0.958987,0.966728,0.991719
9,0.00099606,0.069046,0.982902,0.966162,0.091100,0.978699,0.957542,0.951924,0.958322,0.993036
10,0.00099301,0.060122,0.986416,0.973028,0.048161,0.986001,0.971844,0.967926,0.973023,0.994618
11,0.00098908,0.066266,0.984862,0.969984,0.101755,0.977104,0.954471,0.948584,0.953552,0.994538
12,0.00098431,0.068224,0.984995,0.970252,0.116132,0.967894,0.936187,0.926087,0.976599,0.947103
13,0.00097868,0.079962,0.981811,0.964060,0.091692,0.979593,0.959307,0.953989,0.957479,0.996193
14,0.00097222,0.062331,0.986273,0.972738,0.069333,0.981946,0.963858,0.958923,0.966107,0.992305
15,0.00096492,0.060016,0.986428,0.973042,0.056675,0.983791,0.967463,0.962918,0.971415,0.990998
16,0.00095682,0.068829,0.984740,0.969748,0.073005,0.982284,0.964552,0.959815,0.963304,0.996241
17,0.00094791,0.067481,0.985370,0.970976,0.088468,0.979271,0.958650,0.953145,0.959762,0.992819
18,0.00093822,0.062070,0.986614,0.973409,0.051311,0.986757,0.973346,0.969645,0.973442,0.995993
19,0.00092775,0.054951,0.987614,0.975369,0.064596,0.982355,0.964670,0.959870,0.965796,0.993648
20,0.00091654,0.060890,0.986527,0.973243,0.082768,0.981005,0.962047,0.957001,0.961286,0.995364
21,0.00090460,0.056217,0.987079,0.974323,0.056205,0.987072,0.973964,0.970321,0.974949,0.995132
22,0.00089195,0.056831,0.987248,0.974658,0.072214,0.982187,0.964346,0.959522,0.964980,0.994139
23,0.00087862,0.061561,0.986542,0.973278,0.131589,0.967753,0.936609,0.929005,0.934712,0.993470
24,0.00086462,0.058672,0.987432,0.975016,0.067936,0.984286,0.968468,0.964156,0.968665,0.995196
25,0.00084998,0.053362,0.987835,0.975810,0.058669,0.985774,0.971406,0.967473,0.971037,0.996220
26,0.00083473,0.063578,0.985532,0.971297,0.427630,0.911781,0.830910,0.796617,0.974551,0.813540
27,0.00081889,0.067110,0.984327,0.968943,0.058332,0.985364,0.970579,0.966479,0.972607,0.993523
28,0.00080250,0.053342,0.987060,0.974286,0.064848,0.981008,0.962004,0.956773,0.966401,0.989694
29,0.00078557,0.056807,0.986583,0.973351,0.082152,0.981310,0.962653,0.957716,0.960767,0.996695
30,0.00076815,0.059211,0.986594,0.973373,0.067839,0.982914,0.965781,0.961173,0.965032,0.995856
31,0.00075025,0.050715,0.988442,0.976995,0.063583,0.982890,0.965733,0.961118,0.965033,0.995798
32,0.00073192,0.053654,0.987865,0.975862,0.069861,0.982248,0.964480,0.959729,0.963383,0.996064
33,0.00071318,0.047946,0.988856,0.977812,0.061265,0.984654,0.969202,0.965009,0.968373,0.996413
34,0.00069406,0.059174,0.986684,0.973545,0.084327,0.982903,0.965760,0.961146,0.965134,0.995719
35,0.00067461,0.051784,0.988172,0.976468,0.064246,0.983261,0.966459,0.961923,0.966009,0.995622
36,0.00065485,0.045009,0.989014,0.978121,0.058499,0.985779,0.971413,0.967472,0.971374,0.995865
37,0.00063483,0.050979,0.987849,0.975831,0.046857,0.987405,0.974625,0.971067,0.975593,0.995245
38,0.00061456,0.042914,0.990111,0.980285,0.077423,0.979786,0.959676,0.954371,0.958601,0.995397
