chm_resolution,smooth_sigma,local_max_window,min_tree_height,min_crown_pixels,n_trees,n_noise_pts,noise_frac,density_ha,median_crown_m2,mean_crown_m2,cv_crown_area,min_crown_m2,max_crown_m2,coverage_frac,tp,fp,fn,precision,recall,f1,n_detected,n_gt,quality_score
0.6,0.7,4,3.0,4,779,42860,0.0991,292.46,18.72,30.29,1.0648,1.44,219.6,0.9989,694,85,170,0.8909,0.8032,0.8448,779,864,0.9237
0.75,0.5,3,3.0,4,881,43128,0.0997,330.75,17.44,27.01,0.9988,2.25,163.69,0.9939,736,145,128,0.8354,0.8519,0.8436,881,864,0.9251
0.9,0.3,3,3.0,4,882,47054,0.1088,331.13,18.63,26.85,0.9764,3.24,203.31,0.9813,735,147,129,0.8333,0.8507,0.8419,882,864,0.9234
0.75,0.3,4,3.0,4,813,45424,0.105,305.23,17.44,29.13,1.1321,2.25,226.12,0.989,701,112,163,0.8622,0.8113,0.836,813,864,0.9207
0.6,0.7,3,3.0,4,939,43100,0.0996,352.53,16.2,25.12,1.0405,1.44,219.6,0.9983,753,186,111,0.8019,0.8715,0.8353,939,864,0.9241
0.6,0.5,4,3.0,4,1018,44450,0.1028,382.19,14.4,23.1,1.0429,1.44,178.92,0.9955,768,250,96,0.7544,0.8889,0.8162,1018,864,0.9233
0.75,0.7,3,3.0,4,649,40905,0.0946,243.65,23.06,36.84,1.0496,2.25,276.75,0.9984,616,33,248,0.9492,0.713,0.8143,649,864,0.9251
0.75,0.5,4,3.0,4,664,41960,0.097,249.29,21.38,35.93,1.0736,2.25,275.06,0.9965,621,43,243,0.9352,0.7188,0.8128,664,864,0.924
0.6,0.3,5,3.0,4,651,44978,0.104,244.41,23.04,36.09,1.0851,1.44,249.84,0.9945,615,36,249,0.9447,0.7118,0.8119,651,864,0.922
0.6,0.7,5,3.0,4,624,42537,0.0983,234.27,22.68,37.84,1.0632,1.44,219.6,0.9995,600,24,264,0.9615,0.6944,0.8065,624,864,0.9239
0.6,0.5,5,3.0,4,654,43340,0.1002,245.53,20.7,36.05,1.0754,1.44,218.88,0.9978,612,42,252,0.9358,0.7083,0.8063,654,864,0.9231
0.6,1.0,3,3.0,4,627,42425,0.0981,235.39,23.04,37.67,1.1101,1.44,255.6,0.9997,600,27,264,0.9569,0.6944,0.8048,627,864,0.9229
0.9,0.5,3,3.0,4,630,41120,0.0951,236.52,25.11,38.08,1.0044,3.24,238.14,0.994,593,37,271,0.9413,0.6863,0.7938,630,864,0.9261
0.6,1.0,4,3.0,4,573,42414,0.0981,215.12,26.28,41.22,1.1153,1.44,263.52,0.9998,555,18,309,0.9686,0.6424,0.7724,573,864,0.9227
0.9,0.3,4,3.0,4,567,43438,0.1004,212.87,25.92,42.11,1.0184,3.24,234.9,0.9895,540,27,324,0.9524,0.625,0.7547,567,864,0.9244
0.6,0.3,4,3.0,4,1297,48811,0.1128,486.93,12.24,17.97,1.0449,1.44,142.2,0.9865,814,483,50,0.6276,0.9421,0.7534,1297,864,0.9207
0.75,0.7,4,3.0,4,541,40630,0.0939,203.11,25.31,44.22,1.1003,2.25,320.62,0.9991,526,15,338,0.9723,0.6088,0.7488,541,864,0.9241
0.75,0.3,3,3.0,4,1356,49106,0.1135,509.08,11.25,17.32,0.9787,2.25,138.94,0.9807,815,541,49,0.601,0.9433,0.7342,1356,864,0.9222
0.6,1.0,5,3.0,4,506,42398,0.098,189.97,29.7,46.68,1.1105,1.44,275.76,0.9998,496,10,368,0.9802,0.5741,0.7241,506,864,0.9229
0.6,0.5,3,3.0,4,1386,45804,0.1059,520.35,11.16,16.92,1.0118,1.44,119.16,0.9924,810,576,54,0.5844,0.9375,0.72,1386,864,0.9232
0.9,0.5,4,3.0,4,490,40060,0.0926,183.96,31.59,49.08,0.9986,3.24,288.36,0.9964,477,13,387,0.9735,0.5521,0.7046,490,864,0.9269
0.9,0.7,3,3.0,4,482,38711,0.0895,180.96,29.57,50.03,1.0806,3.24,364.5,0.9992,472,10,392,0.9793,0.5463,0.7013,482,864,0.9257
0.75,0.5,5,3.0,4,465,40956,0.0947,174.58,32.06,51.41,1.1248,2.25,450.0,0.9984,457,8,407,0.9828,0.5289,0.6877,465,864,0.9234
0.75,0.3,5,3.0,4,455,42562,0.0984,170.82,29.81,52.37,1.0762,2.25,311.62,0.9951,447,8,417,0.9824,0.5174,0.6778,455,864,0.9236
0.75,1.0,3,3.0,4,446,40440,0.0935,167.44,32.62,53.66,1.1161,2.25,452.81,0.9994,443,3,421,0.9933,0.5127,0.6763,446,864,0.9239
0.75,0.7,5,3.0,4,434,40468,0.0936,162.94,28.69,55.14,1.1311,2.25,321.19,0.9994,428,6,436,0.9862,0.4954,0.6595,434,864,0.9235
0.75,1.0,4,3.0,4,401,40440,0.0935,150.55,36.0,59.68,1.1305,2.25,452.81,0.9994,399,2,465,0.995,0.4618,0.6308,401,864,0.9236
0.9,0.7,4,3.0,4,402,38552,0.0891,150.92,37.26,60.0,1.0786,3.24,371.79,0.9995,396,6,468,0.9851,0.4583,0.6256,402,864,0.9258
0.75,1.0,5,3.0,4,354,40371,0.0933,132.9,39.09,67.61,1.1602,2.25,573.19,0.9996,352,2,512,0.9944,0.4074,0.578,354,864,0.923
0.9,0.5,5,3.0,4,354,39254,0.0908,132.9,41.31,68.04,1.0296,3.24,406.62,0.9981,350,4,514,0.9887,0.4051,0.5747,354,864,0.9266
0.9,1.0,3,3.0,4,344,38466,0.0889,129.15,45.36,70.14,1.1259,3.24,418.77,0.9997,340,4,524,0.9884,0.3935,0.5629,344,864,0.9248
0.9,0.3,5,3.0,4,339,40697,0.0941,127.27,44.55,70.84,1.0778,3.24,553.23,0.9951,335,4,529,0.9882,0.3877,0.5569,339,864,0.9246
0.9,0.7,5,3.0,4,324,38514,0.089,121.64,43.34,74.46,1.09,3.24,381.51,0.9996,322,2,542,0.9938,0.3727,0.5421,324,864,0.9256
0.6,0.3,3,3.0,4,2204,53639,0.124,827.45,7.2,10.46,0.9103,1.44,66.24,0.9756,823,1381,41,0.3734,0.9525,0.5365,2204,864,0.9114
0.9,1.0,4,3.0,4,309,38426,0.0888,116.01,45.36,78.09,1.1909,3.24,607.5,0.9999,305,4,559,0.9871,0.353,0.52,309,864,0.9234
0.9,1.0,5,3.0,4,265,38388,0.0887,99.49,43.74,91.06,1.3018,3.24,835.92,0.9999,263,2,601,0.9925,0.3044,0.4659,265,864,0.9213
